Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
47988,The New Discworld Companion,Terry Pratchett,"Pratchett, Terry",Stephen Briggs,"=""0575075554""","=""9780575075559""",0,3.94,London : Gollancz,Paperback,288,2004,2003,,2021/03/13,to-read,to-read (#128),to-read,,,,0,,,0,,,,,
29394403,The Witch's Vacuum Cleaner: And Other Stories,Terry Pratchett,"Pratchett, Terry",,"=""0857534831""","=""9780857534835""",0,3.70,Doubleday Childrens,Hardcover,336,2016,2016,,2021/03/13,to-read,to-read (#127),to-read,,,,0,,,0,,,,,
233675,Death's Domain: A Discworld Mapp,Terry Pratchett,"Pratchett, Terry",Paul Kidby,"=""0552146722""","=""9780552146722""",0,4.17,Corgi,Paperback,32,1999,1999,,2021/03/13,to-read,to-read (#126),to-read,,,,0,,,0,,,,,
61657,"The Witches Trilogy (Discworld #3,6,12)",Terry Pratchett,"Pratchett, Terry",,"=""057505896X""","=""9780575058965""",0,4.57,Gollancz,Hardcover,592,1995,1994,,2021/03/13,to-read,to-read (#125),to-read,,,,0,,,0,,,,,
78903,Once More* *with footnotes,Terry Pratchett,"Pratchett, Terry",,"=""1886778574""","=""9781886778573""",0,4.22,NESFA Press,Hardcover,288,2004,2004,,2021/03/13,to-read,to-read (#124),to-read,,,,0,,,0,,,,,
61659,Mort: A Discworld Big Comic,Terry Pratchett,"Pratchett, Terry","Lyn Pratchett, Graham Higgins","=""0575056991""","=""9780575056992""",0,4.36,VG Graphics,Paperback,96,1994,1994,,2021/03/13,to-read,to-read (#122),to-read,,,,0,,,0,,,,,
23346526,Dragons at Crumbling Castle: And Other Stories,Terry Pratchett,"Pratchett, Terry",,"=""0552572802""","=""9780552572804""",0,3.76,Corgi Childrens,Paperback,339,2015,2014,,2021/03/13,to-read,to-read (#123),to-read,,,,0,,,0,,,,,
833440,The Streets of Ankh-Morpork,Terry Pratchett,"Pratchett, Terry",Stephen Briggs,"=""0552141615""","=""9780552141611""",0,4.13,Corgi,Paperback,24,1994,1993,,2021/03/13,to-read,to-read (#121),to-read,,,,0,,,0,,,,,
16127190,"Judgement Day (The Science of Discworld, #4)",Terry Pratchett,"Pratchett, Terry","Ian Stewart, Jack Cohen","=""0091949793""","=""9780091949792""",0,3.85,Ebury Press,Hardcover,342,2013,2013,,2021/03/13,to-read,to-read (#120),to-read,,,,0,,,0,,,,,
78878,The Art of Discworld,Terry Pratchett,"Pratchett, Terry",Paul Kidby,"=""006121194X""","=""9780061211942""",0,4.34,Harper Paperbacks,Paperback,128,2006,2004,,2021/03/13,to-read,to-read (#119),to-read,,,,0,,,0,,,,,
2728900,The Discworld Graphic Novels: The Colour of Magic & The Light Fantastic,Terry Pratchett,"Pratchett, Terry",Steven Ross,"=""0061685968""","=""9780061685965""",0,3.95,Harper,Hardcover,272,2008,2008,,2021/03/13,to-read,to-read (#118),to-read,,,,0,,,0,,,,,
27245604,Small Gods: A Discworld Graphic Novel,Terry Pratchett,"Pratchett, Terry",Ray Friesen,"=""0857522965""","=""9780857522962""",0,4.21,Doubleday,Hardcover,128,2016,2016,,2021/03/13,to-read,to-read (#117),to-read,,,,0,,,0,,,,,
34505,A Tourist Guide to Lancre,Terry Pratchett,"Pratchett, Terry","Stephen Briggs, Paul Kidby","=""0552146080""","=""9780552146081""",0,4.07,Corgi,Paperback,32,1998,1998,,2021/03/13,to-read,to-read (#116),to-read,,,,0,,,0,,,,,
17082640,"The Sea and Little Fishes (Discworld, #22.5; Witches #5.5)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",0,4.24,,ebook,51,1998,1998,,2021/03/13,to-read,to-read (#115),to-read,,,,0,,,0,,,,,
64224,The Discworld Mapp: Being the Onlie True and Mostlie Accurate Mappe of the Fantastyk and Magical Dyscworlde,Terry Pratchett,"Pratchett, Terry",Stephen Briggs,"=""0552143243""","=""9780552143240""",0,4.09,Corgi,Paperback,32,1995,1995,,2021/03/13,to-read,to-read (#114),to-read,,,,0,,,0,,,,,
989097,Discworld Companion,Terry Pratchett,"Pratchett, Terry",Stephen Briggs,"=""0575600306""","=""9780575600300""",0,3.92,Vista,Paperback,477,1997,1994,,2021/03/13,to-read,to-read (#113),to-read,,,,0,,,0,,,,,
2429032,The Folklore of Discworld,Terry Pratchett,"Pratchett, Terry",Jacqueline Simpson,"=""0385611005""","=""9780385611008""",0,3.99,Doubleday,Hardcover,372,2008,2008,,2021/03/13,to-read,to-read (#112),to-read,,,,0,,,0,,,,,
34509,Nanny Ogg's Cookbook,Terry Pratchett,"Pratchett, Terry","Stephen Briggs, Tina Hannan, Paul Kidby","=""0552146730""","=""9780552146739""",0,4.00,Corgi,Paperback,176,2001,1999,,2021/03/13,to-read,to-read (#111),to-read,,,,0,,,0,,,,,
13107852,"Death and What Comes Next (Discworld, #10.5; Death, #1.5)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",0,4.10,http://www.lspace.org/books/dawcn/dawcn-english.html,ebook,5,2002,2002,,2021/03/13,to-read,to-read (#110),to-read,,,,0,,,0,,,,,
23346759,Truckers: The First Book of the Nomes,Terry Pratchett,"Pratchett, Terry",Mark Beech,"=""0552573337""","=""9780552573337""",0,3.92,Corgi Childrens,Paperback,320,2015,1989,,2021/03/13,to-read,to-read (#109),to-read,,,,0,,,0,,,,,
7881001,"The Wee Free Men: The Beginning (Discworld, #30 & #32)",Terry Pratchett,"Pratchett, Terry",,"=""0062012177""","=""9780062012173""",0,4.49,HarperCollins,Paperback,552,2010,2010,,2021/03/13,to-read,to-read (#108),to-read,,,,0,,,0,,,,,
64225,"The Globe (The Science of Discworld, #2)",Terry Pratchett,"Pratchett, Terry","Ian Stewart, Jack Cohen","=""0091888050""","=""9780091888053""",0,3.93,Ebury Press,Paperback,345,2003,2002,,2021/03/13,to-read,to-read (#107),to-read,,,,0,,,0,,,,,
13556674,A Collegiate Casting-Out of Devilish Devices (Discworld #37.5),Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",0,3.88,,ebook,6,2005,2005,,2021/03/13,to-read,to-read (#106),to-read,,,,0,,,0,,,,,
13536811,A Blink of the Screen: Collected Shorter Fiction,Terry Pratchett,"Pratchett, Terry",A.S. Byatt,"=""0385618980""","=""9780385618984""",0,4.03,Doubleday,Hardcover,320,2012,2012,,2021/03/13,to-read,to-read (#105),to-read,,,,0,,,0,,,,,
149864,The Wit and Wisdom of Discworld,Terry Pratchett,"Pratchett, Terry",Stephen Briggs,"=""0061370509""","=""9780061370502""",0,4.01,Harper,Hardcover,360,2007,2007,,2021/03/13,to-read,to-read (#104),to-read,,,,0,,,0,,,,,
12300570,Troll Bridge (Discworld #16.5),Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",0,4.09,Pan Books,,10,1992,1992,,2021/03/13,to-read,to-read (#103),to-read,,,,0,,,0,,,,,
17278807,A Slip of the Keyboard: Collected Non-Fiction,Terry Pratchett,"Pratchett, Terry",,"=""0857521225""","=""9780857521224""",0,4.22,Doubleday,Hardcover,315,2014,2014,,2021/03/13,to-read,to-read (#102),to-read,,,,0,,,0,,,,,
34496,The Unadulterated Cat,Terry Pratchett,"Pratchett, Terry",Gray Jolliffe,"=""0752853694""","=""9780752853697""",0,3.82,Gollancz,Hardcover,157,2004,1989,,2021/03/13,to-read,to-read (#101),to-read,,,,0,,,0,,,,,
20906536,"Mrs Bradshaw's Handbook (Discworld, #40.5; Discworld Companion Books )",Terry Pratchett,"Pratchett, Terry",,"=""0857522434""","=""9780857522436""",0,3.72,Doubleday,Hardcover,144,2014,2014,,2021/03/13,to-read,to-read (#100),to-read,,,,0,,,0,,,,,
34493,Strata,Terry Pratchett,"Pratchett, Terry",,"=""0552133256""","=""9780552133258""",0,3.50,Corgi,Paperback,285,1988,1981,,2021/03/13,to-read,to-read (#99),to-read,,,,0,,,0,,,,,
989030,"Diggers (Bromeliad Trilogy, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0552525863""","=""9780552525862""",0,3.89,Corgi,Paperback,173,1991,1990,,2021/03/13,to-read,to-read (#98),to-read,,,,0,,,0,,,,,
13515493,"The World of Poo (Discworld, #39.5)",Terry Pratchett,"Pratchett, Terry","Bernard Pearson, Isobel Pearson","=""0857521217""","=""9780857521217""",0,3.72,Doubleday,Hardcover,128,2012,2012,,2021/03/13,to-read,to-read (#97),to-read,,,,0,,,0,,,,,
25859268,"The Long Cosmos (The Long Earth, #5)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""0062297376""","=""9780062297372""",0,3.89,Harper,Hardcover,377,2016,2016,,2021/03/13,to-read,to-read (#96),to-read,,,,0,,,0,,,,,
64144,The First Discworld Novels: The Colour of Magic and the Light Fantastic,Terry Pratchett,"Pratchett, Terry",,"=""0861404211""","=""9780861404216""",0,4.14,Colin Smythe ,Hardcover,352,1999,1983,,2021/03/13,to-read,to-read (#95),to-read,,,,0,,,0,,,,,
34515,"Darwin's Watch (The Science of Discworld, #3)",Terry Pratchett,"Pratchett, Terry","Ian Stewart, Jack Cohen","=""0091898242""","=""9780091898243""",0,3.94,Ebury Press,Paperback,344,2006,2005,,2021/03/13,to-read,to-read (#94),to-read,,,,0,,,0,,,,,
233674,"The Science of Discworld (The Science of Discworld, #1)",Terry Pratchett,"Pratchett, Terry","Ian Stewart, Jack Cohen","=""0091886570""","=""9780091886578""",0,3.94,Ebury Press,Paperback,416,2002,1999,,2021/03/13,to-read,to-read (#93),to-read,,,,0,,,0,,,,,
64385,"Johnny and the Bomb (Johnny Maxwell, #3)",Terry Pratchett,"Pratchett, Terry",,"=""0060541911""","=""9780060541910""",0,3.83,HarperCollins,Hardcover,246,2007,1996,,2021/03/13,to-read,to-read (#92),to-read,,,,0,,,0,,,,,
17836100,The Carpet People,Terry Pratchett,"Pratchett, Terry",,"=""0544212479""","=""9780544212473""",0,3.72,Clarion Books,Hardcover,296,2013,1971,,2021/03/13,to-read,to-read (#91),to-read,,,,0,,,0,,,,,
